START:0
540	0	1333	3729	5705	3788	1976	58
550	0	1371	3745	5752	3788	2007	43
560	0	1410	3861	5846	3835	1984	-26
570	0	1449	3885	5612	3928	1727	43
580	0	1489	3939	5518	3881	1579	-57
590	0	1529	3954	6080	4162	2125	207
600	0	1570	4055	5799	4396	1743	340
610	0	1612	4156	6220	4396	2063	239
620	0	1654	4211	6454	4256	2242	44
630	0	1696	4242	6080	4302	1837	60
640	0	1739	4374	5705	4302	1331	-71
650	0	1782	4405	5425	4443	1019	37
660	0	1826	4498	5284	4536	786	37
670	0	1871	4514	5191	4256	677	-258
680	0	1916	4584	5892	4630	1308	45
690	0	1962	4638	5378	4910	739	272
700	0	2008	4630	4957	4630	326	0
710	0	2055	4755	5051	4770	295	15
720	0	2102	4809	5144	4957	335	147
730	0	2150	4864	5097	4817	233	-46
740	0	2198	4895	5331	4957	436	62
750	0	2247	4786	5799	4910	1013	124
760	0	2296	4895	6080	5144	1184	249
770	0	2345	4902	5705	4957	803	54
780	0	2395	4972	5612	5144	639	171
790	0	2446	5003	5799	4864	795	-139
800	0	2497	5027	5565	5097	538	70
810	0	2548	5143	5612	5284	468	141
820	0	2600	5120	5752	5238	632	117
830	0	2652	5135	5565	5425	429	289
840	0	2705	5283	5518	5565	235	281
850	0	2758	5252	5565	5331	313	79
860	0	2811	5221	5752	5144	531	-76
870	0	2865	5462	5659	5518	196	56
880	0	2919	5423	5846	5472	422	48
890	0	2973	5423	6126	5518	703	95
900	0	3028	5555	6407	5518	851	-36
910	0	3082	5524	6313	5565	789	41
920	0	3137	5547	6454	5472	906	-75
930	0	3193	5641	5939	5331	298	-309
940	0	3249	5641	5705	5659	64	18
950	0	3305	5695	6407	5705	712	10
960	0	3362	5703	6360	5705	657	2
970	0	3419	5780	6407	5892	626	112
980	0	3476	5796	6500	5939	704	143
990	0	3533	5804	6641	5752	837	-51
1000	0	3591	5718	7015	5846	1296	127
1010	0	3649	5773	7342	5752	1569	-20
1020	0	3707	5780	7389	5752	1608	-28
1030	0	3766	5749	7108	6033	1359	283
1040	0	3825	5881	6828	6126	946	244
1050	0	3884	5866	6641	5986	774	120
1060	0	3943	5905	6594	5986	689	81
1070	0	4003	5912	6033	6173	120	260
1080	0	4063	5982	6173	6080	190	97
1090	0	4124	6021	6360	6173	338	151
1100	0	4185	6045	6360	6220	315	175
1110	0	4246	6006	6360	6220	354	214
1120	0	4308	6223	6641	5892	417	-330
1130	0	4370	6231	7296	6220	1064	-11
1140	0	4431	6247	7015	5939	768	-307
1150	0	4494	6278	6828	6220	550	-57
1160	0	4556	6247	6454	6454	207	207
1170	0	4619	6371	6688	6267	316	-104
1180	0	4681	6355	6688	6267	332	-88
1190	0	4744	6371	6454	6407	82	36
1200	0	4808	6394	6641	6313	246	-80
1210	0	4871	6386	6641	6080	254	-306
1220	0	4935	6495	6547	6454	52	-41
1230	0	4999	6480	6641	6407	161	-72
1240	0	5063	6379	6594	6360	215	-18
1250	0	5128	6402	6500	6594	98	191
1260	0	5193	6355	6688	6407	332	51
1270	0	5258	6487	6781	6547	293	59
1280	0	5323	6472	6734	6594	262	122
1290	0	5389	6495	6828	6547	332	52
1300	0	5455	6534	6500	6594	-33	59
1310	0	5521	6487	6734	6594	246	106
1320	0	5587	6573	6781	6500	208	-72
1330	0	5653	6588	6781	6688	192	99
1340	0	5720	6635	6688	6734	52	99
1350	0	5787	6620	6641	6594	21	-25
1360	0	5854	6752	6968	6688	216	-64
1370	0	5921	6767	6921	6734	154	-32
1380	0	5989	6767	6875	6688	107	-79
1390	0	6056	6860	6781	6547	-79	-313
1400	0	6124	6853	7062	6828	209	-24
1410	0	6192	6868	7202	6734	333	-133
1420	0	6260	6891	6828	6875	-63	-16
1430	0	6328	6891	7015	6734	123	-157
1440	0	6397	6915	6921	6921	6	6
1450	0	6466	6907	7015	6968	107	61
1460	0	6535	6993	7249	6500	256	-492
1470	0	6604	6985	7062	6875	76	-110
1480	0	6673	6899	6921	6875	22	-24
1490	0	6742	6884	7062	6921	178	37
1500	0	6812	6891	7062	7062	170	170
1510	0	6882	6938	7202	6968	264	30
1520	0	6952	6876	7062	6968	185	92
1530	0	7022	6969	7062	7062	92	92
1540	0	7093	6961	7108	6968	147	6
1550	0	7163	7039	7062	6828	22	-211
1560	0	7234	7031	7296	7155	264	123
1570	0	7305	7016	7155	7015	139	0
1580	0	7376	7031	7062	7108	30	77
1590	0	7448	7171	7108	7062	-62	-109
1600	0	7519	7195	7108	7062	-86	-132
1610	0	7590	7163	7342	7249	178	85
1620	0	7662	7233	7249	6734	15	-499
1630	0	7734	7226	7155	7202	-70	-23
1640	0	7806	7296	7249	7202	-46	-93
1650	0	7878	7272	7202	7062	-70	-210
1660	0	7950	7327	7342	7249	15	-77
1670	0	8022	7303	7389	7155	85	-147
1680	0	8094	7311	7249	7155	-62	-155
1690	0	8167	7327	7342	7249	15	-77
1700	0	8239	7303	7155	7155	-147	-147
1710	0	8312	7132	7342	7249	210	116
1720	0	8383	7000	7342	7342	342	342
1730	0	8453	6954	7062	7763	108	809
1740	0	8523	6822	7062	7997	240	1175
1750	0	8591	6775	6921	8184	146	1409
1760	0	8658	6612	6921	7857	309	1245
1770	0	8723	6456	7015	6921	558	465
1780	0	8788	6324	6594	7296	269	971
1790	0	8851	6192	6126	7763	-65	1571
1800	0	8913	6177	6500	7108	323	931
1810	0	8974	5990	6500	6734	510	744
1820	0	9034	5905	7155	6454	1250	548
1830	0	9094	5920	6267	6267	346	346
1840	0	9152	5858	5986	6033	127	174
1850	0	9209	5780	6033	6126	252	345
1860	0	9266	5710	5892	6033	182	322
1870	0	9322	5617	5892	5799	275	181
1880	0	9377	5578	5659	5659	80	80
1890	0	9431	5501	5472	5144	-29	-356
1900	0	9485	5314	5378	5378	63	63
1910	0	9537	5275	5097	5144	-177	-131
1920	0	9588	5120	4864	4676	-256	-443
1930	0	9637	4871	4630	4583	-241	-288
1940	0	9683	4592	4536	4583	-55	-8
1950	0	9729	4413	4302	4256	-110	-157
1960	0	9772	4265	4209	3788	-56	-477
1970	0	9814	4024	3975	3835	-49	-189
1980	0	9853	3884	3414	3601	-470	-283
1990	0	9891	3683	3227	3507	-455	-175
2000	0	9927	3519	3460	3180	-58	-339
